Textos_espanol,sdg
"En teora, un docente con estatus permanente puede ser despedido, por ejemplo, como resultado de una medida disciplinaria o si ha recibido dos evaluaciones ""insuficientes"" consecutivas. Sin embargo, en la prctica, despedir a un docente permanente puede resultar difcil y rara vez ocurre. La carrera docente no prev etapas diferenciadas asociadas a niveles de competencia o roles y responsabilidades determinados en las escuelas.",4
"Especficamente, las mujeres fundadoras tienden a estar menos preparadas en trminos de educacin y experiencia profesional, una vez que se controla por el sector de actividad de puesta en marcha. En ese sentido, parte de la brecha de gnero puede atribuirse a una brecha de gnero en educacin y campos de inters y carreras (por ejemplo, STEM). La poltica para cerrar la brecha de gnero en la financiacin tendra que abordar los factores anteriores relacionados con la educacin y la formacin.",5
"En las regiones ms desarrolladas, el 98% de los gobiernos haban adoptado tanto medidas legales como polticas para prevenir la violencia domstica, en comparacin con el 71% con medidas legales, el 87% con polticas y el 65% con ambas en los gobiernos de las regiones menos desarrolladas. Esta proporcin tambin fue relativamente baja en frica (68 por ciento) y Asia (69 por ciento). Cuatro gobiernos de frica y cinco gobiernos de Asia no contaban con disposiciones legales o polticas para prevenir la violencia domstica (cuadro III.6).",5
"La Convencin sobre la eliminacin de todas las formas de discriminacin contra la mujer exige a los Estados partes que adopten ""todas las medidas apropiadas para eliminar la discriminacin contra la mujer en todos los asuntos relacionados con el matrimonio y las relaciones familiares"" (art. Esto incluye garantizar el mismo derecho a contraer matrimonio con libre y pleno consentimiento y a elegir libremente cnyuge, los mismos derechos y responsabilidades durante el matrimonio y su disolucin y con respecto a sus hijos, y los mismos derechos personales como marido y mujer, tales como el derecho a elegir un apellido, una profesin y una ocupacin Los derechos relacionados con el acceso a la propiedad y la salud sexual y reproductiva, que se examinarn por separado en este captulo, tambin estn cubiertos por esta disposicin.",5
"La estrategia podra incorporar elementos importantes de reformas legales, regulatorias e institucionales de manera integral y coherente para garantizar que se eliminen los obstculos para el desarrollo equitativo y sostenible. Esta estrategia tambin puede incorporar la participacin de mujeres en reas estratgicas y posiciones de poder, as como facilitar el apoyo para el anlisis de impacto de gnero y la recopilacin de datos desagregados por gnero. Junto con los ministerios interesados, las asociaciones y organizaciones de mujeres de toda Espaa participaron en la preparacin del plan estratgico para incorporar sus puntos de vista en un proceso colaborativo de elaboracin de polticas.",5
"En todo su trabajo, los pedagogos se enfocan en la importancia del juego y el desarrollo integral de los nios y jvenes, que incluye su desarrollo intelectual, social, emocional, neuromuscular, tico, moral y esttico (BUPL, 2016). Estos profesores especialistas se centran en los procesos sociales en las escuelas y constituyen un recurso central en reas relacionadas con el comportamiento, la psicologa y el bienestar. Pueden apoyar a estudiantes individuales dentro y fuera de las aulas y trabajar junto con los maestros en el aula para ayudar a ofrecer una enseanza diferenciada de acuerdo con las necesidades de los estudiantes.",4
"El procedimiento IV permite depurar la variable salud a partir de su correlacin con el trmino de error e_it, es decir, a partir de sus fuentes de endogeneidad. Sin embargo, encontrar un instrumento slido y vlido suele ser difcil, en el mejor de los casos. Por ejemplo, al observar la relacin entre la obesidad y los salarios, Cawley (2004) utiliz el peso de los hermanos como instrumento para el peso individual.",5
"En varios estados y territorios de Australia, Blgica (Comunidad francesa), en varias provincias y territorios de Canad, Chile (Evaluacin del desempeo) y Nueva Zelanda, por ejemplo, queda a discrecin de los lderes y evaluadores escolares seleccionar los instrumentos y herramientas para recabar informacin dependiendo de los aspectos y criterios de evaluacin elegidos y/o de los objetivos de desempeo definidos individualmente. Los instrumentos y las fuentes de informacin utilizados para reunir pruebas sobre el desempeo de un lder escolar tambin pueden diferir entre los puestos de liderazgo, los directores escolares y los subdirectores escolares. Aunque los costos y esfuerzos requeridos deben sopesarse con los beneficios de usar mltiples fuentes de informacin, es esencial reunir una cantidad factible de informacin precisa, vlida, confiable y til (Glasman y Glasman, 2010). Estas reuniones entre evaluador y evaluado pueden basarse simplemente en una lista de comprobacin que examine si se ha demostrado un aspecto de la evaluacin (Lashway, 2003).",4
"Enfatiza la centralidad del conocimiento y el aprendizaje y tiene como objetivo promover la inclusin, la coherencia y la flexibilidad en la prctica educativa. Tambin destaca la importancia de la adaptabilidad, la audacia y la concienciacin sobre cuestiones de sostenibilidad medioambiental como aspectos fundamentales del enfoque educativo del siglo XXI. Esto incluye la expectativa de que el ciudadano desarrolle pensamiento crtico, autoconciencia, autonoma y responsabilidad. Las personas deben poder hacer frente a la incertidumbre en un mundo que cambia rpidamente, utilizar las habilidades que han desarrollado, continuar aprendiendo durante toda la vida y deben respetar los principios fundamentales de la sociedad democrtica y los derechos, garantas y libertades en los que se basa. . Estos incluyen: responsabilidad e integridad, excelencia y altos estndares, curiosidad, reflexin e innovacin, ciudadana y participacin, y libertad. Estos incluyen: el uso de lenguajes y textos, informacin y comunicacin, razonamiento y resolucin de problemas, pensamiento crtico y creativo, relaciones interpersonales, autonoma y desarrollo personal, bienestar, salud y medio ambiente, sensibilidad/conciencia esttica y artstica, cientfica, tcnica y conocimientos tecnolgicos, y conciencia y dominio del cuerpo.",4
"Por lo tanto, aunque las causas estructurales ms amplias de la emigracin parecen ser neutras desde el punto de vista del gnero, el papel de la desigualdad de gnero en las instituciones sociales no lo es. Adems de los determinantes estndar, las instituciones sociales discriminatorias influyen en los patrones de migracin femenina. Esto es fundamental para comprender el papel de las instituciones sociales en la toma de decisiones de las mujeres.",5
"Estas acciones pueden considerarse transformadoras, ya que provocan un cambio de gnero al renegociar espacios en el contexto poltico inestable. Centrarse en cuestiones polticas no relacionadas con los conflictos tambin es una opcin estratgica para que estas organizaciones rompan las barreras de identidad tnica y promuevan iniciativas de reconciliacin bicomunal. Sus articulaciones de derechos humanos son fuertemente inclusivas. Estas CoSO por lo general tienen un impacto de no titulizacin/retencin o un impacto de desecuritizacin/consolidacin de la paz.",5
"Entonces los maestros saben que el enfoque ms fcil para ellos puede ser simplemente esperar a que pasen los intentos de reforma. Lo que es ms importante, existe una brecha sustancial entre el momento en que se incurre en el costo inicial de la reforma y el momento en que es evidente si los beneficios de la reforma realmente se materializarn. Si bien el tiempo complica la poltica de reforma en muchos dominios, parece tener un mayor impacto en la reforma educativa, donde los retrasos suelen implicar muchos aos. Es un largo camino hacia la implementacin exitosa de la reforma, el fracaso a menudo est a solo un pequeo paso de distancia. Como resultado, el ciclo poltico puede tener un impacto directo en el momento, alcance y contenido de la reforma educativa. La reforma educativa se convierte en una tarea ingrata cuando se realizan elecciones antes de que se realicen los beneficios de la reforma.",5
"Entre otras cosas, considera cmo se distribuyen las responsabilidades para la organizacin y el funcionamiento de la escuela, cmo se estructuran el desarrollo y la garanta de calidad de la escuela (por ejemplo, autoevaluacin escolar, externalidad en la garanta de calidad), cmo se organiza, distribuye y prepara el liderazgo escolar, cmo se organizan, distribuyen y preparan los recursos en las escuelas estn organizadas para crear entornos propicios para la enseanza y el aprendizaje efectivos (p. ej., organizacin del aprendizaje, alcance a los padres y las comunidades), y cmo se utilizan las instalaciones y los materiales escolares para apoyar dichos entornos (p. ej., uso de las instalaciones escolares fuera del horario de instruccin). En Uruguay, el 41,4% de los jvenes de 15 aos que tomaron la evaluacin PISA 2012 estaban matriculados en educacin secundaria bsica y el 58,6% en educacin secundaria superior. Casi todos los estudiantes que realizaron la evaluacin PISA siguieron un programa general (97,3 %) (OCDE, 2013a, tablas IV.2.4 y IV.2.6).",4
"Es importante tener en cuenta que la organizacin de la red escolar debe tener como objetivo garantizar una educacin de calidad para todos los nios. El acceso de los estudiantes a una educacin de alta calidad no debera verse afectado negativamente por su lugar de residencia. En algunos casos, cerrar la escuela puede no ser la mejor solucin; la distancia a recorrer puede simplemente no ser practicable.",5
"Eslovenia tiene una de las proporciones ms altas de la poblacin de 25 a 64 aos que ha completado al menos la educacin secundaria superior, y ocupa un lugar destacado en las pruebas internacionales de rendimiento educativo. Sin embargo, en algunas reas, las reformas podran mejorar significativamente el desempeo y equipar a la fuerza laboral con las habilidades ms demandadas en una economa que cambia rpidamente. En particular, las bajas proporciones de alumnos por maestro, el tamao reducido de las clases y una alta proporcin de personal no docente sugieren que hay espacio para mejorar la eficiencia del gasto. La racionalizacin del personal docente y no docente tambin liberara valiosos recursos pblicos que podran redirigirse hacia aspectos del sistema educativo que carecen de fondos suficientes.",4
"Adems, es ms probable que las fundadoras deseen mantener el control de la empresa y continuar haciendo crecer su negocio de forma independiente. Este argumento parece plausible dado que, en general, las mujeres y los hombres empresarios declaran tener diferentes motivaciones que los hombres para iniciar un negocio (Figura 2). La validacin o el rechazo de esta hiptesis conlleva importantes implicaciones de poltica.",5
"En la mayor parte del mundo emergente, sin embargo, persisten brechas de gnero severas y mejorar los logros educativos de las mujeres debera seguir siendo una preocupacin principal para los formuladores de polticas. Adems, un crculo vicioso de baja productividad y acceso limitado al capital puede reforzarse a s mismo y fomentar trampas de pobreza. Esto puede suceder si las restricciones crediticias generales que enfrentan las empresarias reprimen la inversin en sus negocios, lo que hace que la productividad permanezca baja y reduzca an ms su solvencia crediticia.",5
"Esto debe incluir respetar a los pacientes, involucrarlos en la priorizacin y planificacin de los sistemas de atencin mdica y promover su voz y eleccin a travs de una mayor alfabetizacin en salud. La recopilacin de medidas de la experiencia del paciente es fundamental para brindar servicios de salud que realmente respondan a las necesidades de los pacientes. De manera complementaria, el papel de los profesionales de la salud debe modernizarse para brindar una mayor atencin centrada en el paciente.",3
"Esta diferencia, sin embargo, vara significativamente segn el grupo socioeconmico. Mientras que el 44,1% de los estudiantes del PIE de nivel socioeconmico bajo son diagnosticados con una necesidad especial permanente, solo el 12% de los estudiantes del PIE de nivel socioeconmico alto son diagnosticados con dicha necesidad (ver Figura 3.5). Tambin hay diferencias por proveedor de la escuela: las escuelas municipales tienen ms probabilidades de matricular a estudiantes con discapacidades permanentes que las escuelas privadas subvencionadas.",4
"Esta no es una tarea fcil cuando el tamao de las clases vara mucho debido a la existencia de escuelas rurales o remotas. Tambin surgen dificultades en la consideracin de las necesidades de los estudiantes y las escuelas en la frmula (por ejemplo, requisitos curriculares, equipamiento escolar, ritmo de aprendizaje de los estudiantes). Es necesario lograr un equilibrio entre una frmula simple, que podra no capturarlo todo, y una frmula sofisticada, que podra ser difcil de entender y cuyo ajuste podra generar resultados inesperados y desagradables.",4
"Por lo tanto, es necesario disear polticas que provoquen cambios en la estructura productiva y su orientacin para que los factores de demanda abran el camino a un tipo de crecimiento ms slidamente basado en la equidad, siendo la equidad un objetivo de poltica en su por derecho propio, en lugar de ser visto como un ""complemento"". Esto requerir derribar las principales barreras de entrada al mercado laboral para que la proteccin social pueda combinarse con polticas laborales y econmicas que proporcionen financiamiento confiable y continuo para los sistemas de servicios integrados. La poltica laboral debe enfocarse en asegurar que el rgimen laboral incorpore las necesidades asociadas al ciclo de vida familiar y que las normas laborales diseadas para brindar proteccin social se apliquen por igual a hombres y mujeres para que las mujeres no sean vistas como trabajadoras costosas. por los posibles empleadores y que las horas que las mujeres trabajan en el mercado laboral se correspondan con un impacto positivo en la demanda agregada, la productividad y el crecimiento.",5
"Dado que normalmente no se debe brindar atencin sin el consentimiento de la persona, el tratamiento obligatorio solo se puede ordenar para los pacientes que se oponen a la atencin, pero que padecen un trastorno psiquitrico grave (excluida la discapacidad del desarrollo). Esta atencin solo debe brindarse en los casos en que ""debido a su condicin psiquitrica o circunstancias personales"", una persona necesita tratamiento psiquitrico que solo ser efectivo si el paciente es admitido en un centro de atencin psiquitrica para pacientes internados (Bolling et al, 2009 ). El tratamiento ambulatorio involuntario, bajo condiciones especiales, solo puede comenzar despus de un perodo de tratamiento ambulatorio involuntario.",3
"Establecidos en 2004-2005, estos cursos solan ser ofrecidos por varias instituciones, incluidas escuelas, centros de formacin y politcnicos, y reclutaron a ms de 12 000 participantes en 2014-2015. A partir de 2015-2016, los politcnicos ya no estn autorizados a ofrecer estos cursos. El nmero de estudiantes disminuy ese ao a 6 300.",4
"Estas habilidades describen lo que la OCDE ha llamado Teaming to learn: las estrategias, prcticas y motivaciones asociadas con el alto rendimiento (OCDE, 2010). El ""modelo de tres capas"" del aprendizaje autorregulado (Boekaerts, Pintrich y Zeidner, 2000) es un marco que captura los diferentes tipos de mentalidades, disposiciones y habilidades que deben desarrollarse para que los estudiantes sean capaces de aprender. capaces de aprender productivamente por s mismos. La capa interna de regulacin cognitiva abarca las prcticas que un estudiante necesita dominar para llevar a cabo el procesamiento de la informacin. La capa intermedia de regulacin metacognitiva describe el conocimiento y las habilidades de los estudiantes que les permiten tomar decisiones efectivas sobre lo que estudian y cmo. La capa externa de regulacin motivacional representa el ""yo"", las propias metas, necesidades y expectativas del alumno.",4
"Los hombres tambin contribuyen a la seguridad social por ms tiempo que las mujeres en Mxico. Entre todos los trabajadores por cuenta propia (mayores de 15 aos) que son mujeres, el 77,5% nunca ha cotizado a la seguridad social, en comparacin con el 65,1% de los trabajadores por cuenta propia que son hombres (estimaciones de la ENIGH de la OCDE, 2014). La cobertura es an peor para los grupos marginados como los trabajadores domsticos, que en su inmensa mayora son mujeres.",5
"Los datos de la Asociacin China de Mujeres Empresarias muestran que las mujeres empresarias representan alrededor del 25% de todos los empresarios, tienen ms educacin que los hombres, son optimistas sobre su futuro y cada vez ms propensas a buscar informacin comercial en Internet y llegar a los mercados internacionales. Se ha prestado especial atencin a los programas para mejorar la inclusin financiera de las mujeres empresarias. Incluyen tasas de inters preferenciales y esquemas de garanta de crdito.",5
"Los datos se refieren a la duracin promedio de la estada para atencin curativa (aguda) (lo que resulta en una subestimacin). Fuente: Estadsticas de salud de la OCDE (2016), http://dx.doi.org/10.1787/health-data-en. En comparacin con el sector hospitalario, existe un dficit importante de informacin sobre los patrones de atencin y los resultados en la atencin primaria.",3
"Las medidas especficas incluyeron auditoras de gnero de los ministerios sectoriales, evaluaciones de gnero, sensibilizacin y el establecimiento de un Comit de Presupuesto con Perspectiva de Gnero. El Ministerio de Hacienda desarroll un sistema de seguimiento presupuestario para medir la sensibilidad de gnero del gasto pblico y la ayuda de los donantes. Como resultado de estos cambios, las asignaciones presupuestarias con perspectiva de gnero en Nepal aumentaron constantemente del 11 % en 2007 a casi el 22 % en 2014.",5
"La experiencia de otros pases de la OCDE ha demostrado que cuando la provisin de nivel de atencin primaria para trastornos leves a moderados es muy eficaz cuando tambin est respaldada por una buena formacin (tanto durante la formacin mdica como como parte de la educacin mdica continua), por el apoyo de especialistas en salud mental, profesionales de la salud y redes de apoyo, y mediante buenas opciones de derivacin en caso de que un paciente necesite acceder a un nivel de atencin ms especializado (por ejemplo, un psiclogo o un servicio o centro comunitario especializado en salud mental). La competencia en el tratamiento y diagnstico de trastornos leves y moderados debe integrarse en la formacin para la especialidad de atencin primaria de Japn desde el principio. Se recomienda que Japn considere la expansin de tratamientos basados en evidencia para trastornos de leves a moderados, en particular aumentando la disponibilidad de terapias psicolgicas.",3
"Despus del accidente nuclear de Fukushima no se not ningn impacto en los valores medidos. La NFA registra plaguicidas y agroqumicos, y medicamentos veterinarios. La NFA es responsable de controlar todo tipo de establecimientos productores de alimentos/piensos desde 2011, de acuerdo con la Ley de Calidad e Inocuidad de los Alimentos.",3
"La categorizacin de estas etapas en el proceso de seleccin proporciona un marco claro para la identificacin de acciones concretas en cada etapa del ciclo electoral. Las reglas y prcticas deben asegurar que mujeres y hombres tengan igualdad de oportunidades y apoyo en todo el proceso electoral, es decir, durante los perodos preelectoral, electoral y postelectoral. La Tabla 1.4 resume las responsabilidades estatales clave en relacin con las elecciones y las dimensiones de gnero de cada una.",5
"Si invertimos de todo corazn en las nias, veremos comunidades y familias ms fuertes, economas sostenibles, tasas ms bajas de mortalidad y morbilidad materna, tasas ms bajas de VIH y SIDA, menos pobreza, ms innovacin, tasas reducidas de desempleo y una prosperidad ms equitativa. Con el apoyo de la Fundacin de las Naciones Unidas, el Grupo de Trabajo tiene como objetivo fortalecer la colaboracin interinstitucional tanto a nivel mundial como nacional, facilitar el desarrollo de programas efectivos para abordar los derechos y necesidades de las adolescentes, apoyar el impulso para lograr los ODM y eliminar todos formas de violencia y discriminacin contra las nias y mujeres jvenes. Las agencias se comprometieron a aumentar el apoyo a los gobiernos y las sociedades civiles durante los prximos cinco aos para promover polticas y programas para empoderar a las adolescentes ms difciles de alcanzar. Fondo CbiWren de las Naciones Unidas.",5
"Este acceso casi universal significa que el contenido educativo televisado tiene la mayor posibilidad de llegar a la mayora de los estudiantes en las zonas rurales y desfavorecidas. A diciembre de 2014, Tailandia tena 97,7 millones de suscriptores mviles (Leesanguansuk, 2015). Actualmente tiene la tercera tasa de penetracin de banda ancha mvil ms alta entre los pases de la Asociacin de Naciones del Sudeste Asitico (ASEAN), alrededor de 50 millones de usuarios, y se convertir en el segundo suscriptor de banda ancha mvil ms grande en el sudeste asitico despus de Singapur una vez que el lanzamiento de la cuarta banda ancha de alta velocidad. La red de generacin (4G) est completa. Tailandia debera continuar con sus inversiones digitales en ambos, asegurndose de equilibrar el gasto entre el gasto en dispositivos y acceso a Internet, y el gasto en costos de mantenimiento tcnico para las escuelas.",3
"Este captulo comienza con una descripcin general de las reformas de Tailandia relacionadas con el uso de las TIC en la educacin, y luego proporciona un anlisis de los problemas de poltica relacionados con esta rea, presentando recomendaciones para mejorar para apoyar el uso de las TIC para mejorar la calidad y la equidad de la educacin. sistema educativo en su conjunto. El objetivo de estas estrategias ha sido utilizar las TIC para crear una Tailandia inteligente: una sociedad que sea inteligente y alfabetizada en informacin, donde el conocimiento beneficie a los ciudadanos y a la sociedad en su conjunto (Ministerio de TIC, 2009a). La educacin ha sido un pilar clave en estos esfuerzos.",5
"Este captulo describe su demografa, economa, gobierno y, en particular, su sistema educativo, incluidos los recientes esfuerzos y desafos de reforma. Ha sido gratuito desde 2009 y las tasas de participacin ahora son altas, con una educacin preescolar y primaria casi universal. Los esfuerzos de reforma para descentralizar la administracin y aumentar la calidad de su educacin para cumplir objetivos de desarrollo ms amplios han tenido menos impacto, y an quedan desafos por resolver en cuanto a eficacia, eficiencia y equidad.",4
"Este enfoque dirigido por el sector para la mejora escolar fue beneficioso no solo para las escuelas beneficiarias sino tambin para las escuelas de origen, ya que las relaciones de asociacin crearon un entorno mejorado para la reflexin sobre la eficacia escolar. Sin embargo, como Baars et al. (En particular, los lderes educativos locales y nacionales como lderes consultores necesitaban una seleccin, capacitacin y garanta de calidad muy cuidadosas, ya que no hay garanta de que un buen director sea un buen lder consultor.",4
"Este es el caso de los programas de educacin secundaria inferior en Noruega, de los programas de educacin secundaria superior en Finlandia y de ambos tipos de programas en el Reino Unido. En Canad, los estudiantes de secundaria inferior y superior generalmente repiten solo los cursos que han reprobado y no grados completos, mientras que los estudiantes de primaria generalmente no repiten grados. Alcanza el 2 % en los programas generales de secundaria inferior (esto excluye a los estudiantes adultos) y aumenta con los niveles educativos ms altos. La repeticin de grado es relativamente poco comn en los programas generales de secundaria inferior y est por debajo del 5% en la mayora de los pases.",4
"Dado el alcance de la segregacin de gnero en los mercados laborales en general, y dentro de la industria en particular, donde las mujeres constituyen solo el 30 por ciento de la fuerza laboral mundial, existe el riesgo de que los esfuerzos para una industria ecolgica no solo pasen por alto a las mujeres, sino que las marginen. Los sectores a los que se dirige la expansin del empleo verde, como la energa, la construccin y la industria bsica, estn muy dominados por los hombres y las tendencias recientes indican que la segregacin sectorial est aumentando en lugar de disminuir.21 Entre los empleos verdes que ya existen, las mujeres tienden a tener una baja representacin y/o u ocupar los peldaos de menor valor agregado. En las economas en desarrollo, las mujeres se concentran en gran medida en el extremo de bajo valor agregado de los empleos verdes existentes, por ejemplo, como trabajadoras informales en la recoleccin y el reciclaje de desechos (Strietska-llina y otros, 2011).",5
"Dada la diversidad interregional en el financiamiento y la provisin de atencin mdica, la informacin sobre el desempeo del sistema de salud regional es muy deseable y puede permitir la evaluacin comparativa del desempeo en todas las regiones. La decisin de las autoridades federales de identificar y recopilar un conjunto de 300 indicadores definidos comnmente (72 relacionados con la salud) es un avance positivo. Solo se puede enfatizar que estos datos seran an ms tiles si se definieran y recopilaran de acuerdo con los estndares internacionales, lo que permitira la evaluacin comparativa internacional e interregional.",3
"Sin embargo, a nivel micro, ha habido una variacin considerable en la implementacin y en la persistencia del esquema de seguro de salud ms antiguo, lo que permite sacar algunas conclusiones. La participacin en esquemas de seguros parece mejorar el estado de salud autoinformado segn un estudio (Gao y Meng, 2009), pero otros estudios no presentan resultados tan claros. Las tasas de reembolso por enfermedades catastrficas son bajas.",3
"Si no se abordan estos desafos, las reas clave de los ODS no sern monitoreadas desde una perspectiva de igualdad de gnero. Las estadsticas de gnero incluyen datos recopilados, analizados y presentados por sexo y otras caractersticas, as como datos que no estn desglosados por sexo pero que reflejan las necesidades, oportunidades y contribuciones especficas de las mujeres y las nias en la sociedad. Los datos sobre la violencia contra la mujer o sobre la asistencia de parteras capacitadas durante el parto son ejemplos de estos ltimos.",5
"Este es un hallazgo algo lgico, ya que las prcticas activas podran considerarse ms riesgosas que los mtodos de enseanza directa. Puede ser un desafo usar las TIC en su enseanza o hacer que los estudiantes trabajen en grupos si no est seguro de tener las habilidades necesarias en pedagoga, contenido o gestin del aula. Los datos indican que cuando los profesores dirigen el aprendizaje de los alumnos, estos tienen una probabilidad un poco mayor de resolver con xito los problemas matemticos ms sencillos de PISA.",4
"Este nuevo sistema de apoyo a la mejora escolar busca desarrollar la capacidad de las escuelas y los proveedores escolares para la autosuperacin y hacer un mejor uso de PEI y PME. Con este fin, tambin busca establecer el PME como una herramienta ms independiente de la SEP y los requisitos de rendicin de cuentas relacionados. Otro desarrollo positivo es que gracias a los programas de financiamiento focalizado en la forma de la SEP y el programa de integracin escolar (PIE), las escuelas tienen recursos adicionales para contratar personal de apoyo al aprendizaje que apoye a los maestros en su trabajo y brinde apoyo a los estudiantes dentro de las escuelas.",4
"Se brinda atencin integral, que incluye tratamiento mdico, evaluacin psiquitrica, asistencia psicolgica y social. En Europa occidental y central, el cannabis es la droga ms comnmente incautada, representando alrededor del 80% de todas las incautaciones. La cocana ocupa el segundo lugar en general y representa ms del doble del nmero de incautaciones notificadas de anfetaminas o herona.",3
"En general, las mujeres parecen representar una proporcin ms pequea de los SDE ms orientados individualmente (como la consultora) y los SDE ms sofisticados (como la formacin en gestin empresarial) que en los programas de formacin empresarial basados en grupos. Esto en un programa de formacin empresarial apoyado por la ANPME en Marruecos que se dirige especficamente a mujeres empresarias. La ANPME normalmente no brinda capacitacin empresarial como parte de su oferta de programas para pequeas y medianas empresas (PYME).",5
"Para los hombres en pareja, esta cifra es aproximadamente el doble. Los pases donde la participacin de las mujeres en el mercado laboral es alta, o donde la brecha salarial de gnero es limitada, tienden a tener resultados ms equitativos. Carreras laborales ms cortas y perfiles de carrera e ingresos restringidos, en relacin con los hombres, ayudan a explicar por qu, en promedio, las pensiones de las mujeres son de menor valor que las de los hombres. El grfico 13.4 muestra que, entre los beneficiarios de pensiones en 2013/14, la brecha de gnero en las pensiones era inferior al 10 % solo en Estonia, Dinamarca y la Repblica Eslovaca.",5
"Esta descentralizacin dificult la movilidad de los pacientes entre regiones debido a los complicados procedimientos burocrticos y result en muchos casos de abuso y corrupcin debido a un sistema de control subdesarrollado (Comisin Europea, 2010). El Fondo Nacional de Salud (NFZ) se cre en 2003 mediante la fusin de los Fondos de Enfermedad. Hungra, Irlanda, Italia, Nueva Zelanda, Noruega y el Reino Unido tienden a compartir caractersticas similares (OCDE, 2010a).",3
"Este proceso permiti comparar de forma sencilla a los alumnos inmigrantes con sus compaeros nativos en los diez indicadores. La figura 1.1 ofrece una visin grfica del rendimiento relativo de los dos grupos de alumnos y, lo que es ms importante, destaca las reas en las que las diferencias entre ambos grupos son ms significativas. Los valores medios de los alumnos inmigrantes se convierten en valores relativos de 10. ",4
"Deben continuar realizando tareas como cocinar, lavar la ropa y cuidar a los nios, adems de dedicar ms horas al trabajo agrcola u otros trabajos. En Bosnia, Camboya y Guatemala, la carga de trabajo de las mujeres aument drsticamente a raz de los crmenes masivos. Muchos nios pierden a sus padres durante crmenes masivos, otros son separados de sus familias durante conflictos y migraciones forzadas.",5
"Las alumnas se sienten especialmente atradas por la educacin de nivel de licenciatura en ""Trabajo social"", ""Periodismo"", ""Formacin de docentes"" y ""Enfermera"", as como en ""Lengua, literatura y medios"" (Poppel, M. y Chemnitz Kleist 2009: 346). La representacin de las mujeres aument considerablemente en las elecciones parlamentarias de 2002: del 19 % al 36 % (12 de 31 miembros). No se eligieron candidatas del Partido de las Mujeres, pero el partido logr llamar la atencin sobre diferentes aspectos de las desigualdades de gnero y, sobre todo, sobre la falta de candidatas en los diferentes partidos (Poppel, M. 2009).",5
"Esto ayud a las regiones a ver el objetivo en trminos ms concretos y alcanzables. Por ejemplo, en una regin se lleg a la conclusin de que si 34 alumnos indgenas en situacin de riesgo obtuvieran el QCE, se cerrara la brecha. Los esfuerzos de la oficina central tambin incluyeron talleres y sesiones de liderazgo para que los lderes escolares y el personal regional se centraran en por qu eran necesarias las mejoras y cmo podran llevarse a cabo.",4
"En la medida en que ms mujeres participen en la poltica, es menos probable que se ignoren o silencien los derechos, las prioridades, las necesidades y los intereses de las mujeres. Histricamente, la participacin de las mujeres se ha minimizado a pesar de que representan al menos la mitad de la poblacin en la mayora de los pases. Precisamente por eso, su nivel de implicacin y compromiso en la vida pblica y poltica es clave. Surgieron ms organizaciones de mujeres en respuesta a la mayor participacin de las mujeres en la vida pblica y, a pesar de la polarizacin poltica que surgi, estos grupos lograron mantenerse unidos para presionar por la preservacin y el avance de los derechos de las mujeres.",5
"El llamado segmento A consiste en servicios hospitalarios para los cuales los precios regulados se derivan de un presupuesto hospitalario global. El segmento B consiste en servicios hospitalarios donde los precios se negocian libremente con las aseguradoras de salud y, por lo general, comprende servicios menos complejos (por ejemplo, reemplazos de rodilla y cadera). La participacin del segmento B ha aumentado de menos del 10 % en 2005 a ms del 30 % en 2011 y al 70 % tras la reforma de 2012 (descrita a continuacin). Al mismo tiempo, los precios reales en el segmento B han disminuido, reflejando el mayor poder de negociacin de las aseguradoras de salud (Cuadro 7).",3
"Dadas estas cifras, se podra argumentar que Letonia ha tenido ms espacio fiscal para dedicar a la inversin en el sistema de salud que otras economas de la OCDE. La proporcin del PIB para el sector pblico en Letonia es del 36,5 %, mucho ms bajo que el promedio de todos los pases europeos de la OCDE (excluyendo Turqua) en 45,6 % en 2012 (OCDE, 2015d) y Letonia gasta el 9 % del gasto pblico en salud, un una proporcin ms pequea que cualquier pas de la OCDE (Figura 1.13). En el otro extremo del espectro, la participacin supera el 20 % en Nueva Zelanda, Suiza, los Pases Bajos y los Estados Unidos.",3
"Los pacientes pueden elegir a cualquier mdico de cabecera, pero como no hay un sistema de control, tambin pueden elegir visitar directamente a cualquier especialista mdico. Hay pocos contactos ambulatorios por persona (58 en 2015) y una gobernanza de atencin primaria dbil (por ejemplo, falta de inspeccin estatal, polticas de atencin primaria de apoyo). Tambin existe un relativo subdesarrollo de la fuerza laboral de atencin primaria con bajos niveles de ingresos en relacin con los especialistas. Ms positivamente, se ha juzgado que el sistema de atencin primaria es relativamente efectivo y eficiente con respecto a la coordinacin y la integralidad de la atencin (Ktingos et al, 2015, Kringosetal, 2013).",3
"Esto es particularmente importante para los estudiantes de entornos desfavorecidos, para quienes la escuela puede ser su principal medio para desarrollar habilidades. Alcanzar un nmero cercano al promedio de aos de educacin de la OCDE parece proporcionar un factor protector para que los estudiantes mejoren la probabilidad de xito acadmico. Esto se debe en gran medida a que para alcanzar el promedio de la OCDE de 14 aos, los estudiantes deben ingresar al sistema educativo a los 3 o 4 aos y permanecer en l hasta los 17 o 18 aos. siendo las actividades entre los nios y sus padres y/o cuidadores el principal determinante del aprendizaje temprano.",4
